batch_start,batch_close,candidate_id,ivrs,introductions,first_round_interviews,final_offers,hired,,,,,,,Predicted,Actual,Variance
1/6/16,2/1/16,126492,4,3,1,1,TRUE,#N/A,,,,,599273,FALSE,FALSE,TRUE
1/6/16,2/1/16,602484,5,4,2,0,FALSE,,,,,,844689,FALSE,FALSE,TRUE
1/6/16,2/1/16,583988,16,14,6,2,TRUE,,,,,,613332,FALSE,FALSE,TRUE
1/6/16,2/1/16,601695,8,5,4,0,FALSE,,,,,,957884,FALSE,FALSE,TRUE
1/6/16,2/1/16,281291,0,0,0,0,FALSE,,,,,,1159615,FALSE,FALSE,TRUE
1/6/16,2/1/16,451019,23,20,12,1,TRUE,,,,,,1237110,FALSE,FALSE,TRUE
1/6/16,2/1/16,396306,14,11,4,1,FALSE,,,,,,967594,FALSE,FALSE,TRUE
1/6/16,2/1/16,589108,2,1,1,0,FALSE,,,,,,1103646,FALSE,FALSE,TRUE
1/6/16,2/1/16,558713,2,0,0,0,FALSE,,,,,,867776,FALSE,FALSE,TRUE
1/6/16,2/1/16,590872,3,3,2,0,FALSE,,,,,,220745,FALSE,FALSE,TRUE
1/6/16,2/1/16,600773,0,0,0,0,FALSE,,,,,,715833,FALSE,FALSE,TRUE
1/6/16,2/1/16,26271,4,4,3,0,FALSE,,,,,,1409200,FALSE,FALSE,TRUE
1/6/16,2/1/16,579602,1,1,1,0,FALSE,,,,,,753944,FALSE,FALSE,TRUE
1/6/16,2/1/16,573250,12,1,1,1,TRUE,,,,,,12219,FALSE,FALSE,TRUE
1/6/16,2/1/16,576388,10,3,1,0,FALSE,,,,,,821478,FALSE,FALSE,TRUE
1/6/16,2/1/16,49978,6,5,3,1,TRUE,,,,,,895546,FALSE,FALSE,TRUE
1/6/16,2/1/16,600355,1,1,1,0,FALSE,,,,,,399440,FALSE,FALSE,TRUE
1/6/16,2/1/16,602812,0,0,0,0,FALSE,,,,,,1475048,FALSE,FALSE,TRUE
1/6/16,2/1/16,383266,9,9,7,1,FALSE,,,,,,742320,FALSE,FALSE,TRUE
